name	mle	cilow	cihigh	test
mis	1.153295535605905	1.1220303701802243	1.185431898991172	Basic
non	1.2554422400550937	1.1730304465359542	1.3436439120305834	Basic
spl	0.9062299681498482	0.8206498687914712	1.0007346450713404	Basic
tru	1.1262888088958671	1.063006222198145	1.193338716701902	Basic
all	1.153549435647352	1.122606856523323	1.1853448896645664	Basic
mis	1.1165627403138014	1.086324418866	1.1476427588348723	BasePairCov
non	1.1698603433740664	1.093410719015406	1.25165520988459	BasePairCov
spl	1.2819384815653376	1.1609960079859194	1.415479690898278	BasePairCov
tru	1.2021063895493305	1.1347744423158128	1.2734334841435917	BasePairCov
all	1.1218990099161965	1.091844636338846	1.1527806672856395	BasePairCov
mis	1.0981435986214771	1.0683995689872798	1.128715696072773	BasePairCov + CpGmeth
non	1.1001567187553227	1.02843243020389	1.176883157586273	BasePairCov + CpGmeth
spl	1.259705482712409	1.1408912853585669	1.3908931758357463	BasePairCov + CpGmeth
tru	1.1446529878138223	1.0806536160844684	1.2124425838303932	BasePairCov + CpGmeth
all	1.1006559786797112	1.0711721394916256	1.130951355753464	BasePairCov + CpGmeth
mis	1.0606127493072903	1.030310016910414	1.0918067237338909	BasePairCov + CpGmeth + Penta
non	1.1543547786073205	1.067764322198712	1.2479672968934146	BasePairCov + CpGmeth + Penta
spl	1.240982011819235	1.1152599437132382	1.3808765950397106	BasePairCov + CpGmeth + Penta
tru	1.1827796791809404	1.1088581693110893	1.2616291318415576	BasePairCov + CpGmeth + Penta
all	1.0692355914348888	1.039229611689022	1.1001079425874034	BasePairCov + CpGmeth + Penta
